objectid,title,location,address,city,state,zip_code,subject,datebuilt_architect,latitude,longitude,architect,filename,rights,format,date_all,date
iaahs143,St. Matthew Church Building,West,215 N. 57th St.,Philadelphia,PA,19139,church,"1940, Charles Bolton & Son",39.964697,-75.233722,Charles Bolton & Son,,,record,1940,1940
iaahs144,Bethel Baptist Church,West,4033-4037 Haverford Ave.,Philadelphia,PA,19104,church,"1924, Clarence Caspary",39.9413541,-75.1621808,Clarence Caspary,,,record,1924,1924
iaahs145,Franklin Field,West,33rd and Spruce Streets,Philadelphia,PA,19104,stadium,"1922, Day & Klauder",39.990821,-75.168428,Day & Klauder,,,record,1922,1922
iaahs146,Mount Carmel Baptist Church,West,5732 Race St.,Philadelphia,PA,19139,church,"1915, Henry DeHoff; alterations, 1938, Charles Bolton & Sons; main sanctuary, post-World War II",39.964312,-75.235491,Henry DeHoff;Charles Bolton & Sons,,,record,1915;1938,1915
iaahs147,Clanerda Presbyterian Church,West,34th and Girard Sts.,Philadelphia,PA,19104,church,"ca. 1912, Horace Trumbauer (Julian Abele)",39.942743,-75.152895,Horace Trumbauer (Julian Abele),,,record,1912,1912
iaahs148,Zoological Society Building,West,34th and Girard Sts.,Philadelphia,PA,19104,,"ca. 1912, Horace Trumbauer (Julian Abele)",39.990821,-75.168428,Horace Trumbauer (Julian Abele),,,record,1912,1912
iaahs149,Star of Hope Baptist Church,West,443 N. 60th St.,Philadelphia,PA,19151,church,"ca. 1962, James Plater",39.969076,-75.239025,James Plater,,,record,1962,1962
iaahs150,Tyree A.M.E. Church / 10th United Presbyterian Church,West,3800 Hamilton St.,Philadelphia,PA,19104,church,"1886, Lawrence Valk",39.961293,-75.19721,Lawrence Valk,,,record,1886,1886
iaahs151,Tyree A.M.E. Church (?) / Williams Chapel / Metropolitan Baptist Church / First United Baptist Church,West,3728-3730 Haverford Ave.,Philadelphia,PA,19104,church,"before 1922; alterations as church, 1937, Richard Neely",39.968301,-75.23486,Richard Neely,,,record,1922;1937,1922
iaahs152,Monumental Baptist Church / First Reformed Church,West,4948 Locust St.,Philadelphia,PA,19139,church,"1923-1925, Stuckert & Co.",39.955048,-75.221354,Stuckert & Co.,,,record,1923;1925,1923
iaahs153,"United Mission Church / Pennsylvania Railroad Branch, YMCA / Second Antioch Baptist Church",West,907 N. 41st St.,Philadelphia,PA,19104,church,"1892, T. P. Lonsdale",39.976197,-75.206385,T. P. Lonsdale,,,record,1892,1892
iaahs154,White Rock Baptist Church / St. Matthew M.E. Church,West,5240-5244 Chestnut St.,Philadelphia,PA,19139,church,"original church building, 1889-1890, T. P. Lonsdale; parish house, 1899, T. P. Lonsdale; substantial chapel addition, 1908, Wesl",39.957881,-75.220335,T. P. Lonsdale;T. P. Lonsdale;Wesl,,,record,1889;1890;1899;1908,1889
iaahs155,St. Michael and All Angels Chapel / Bethany Baptist Church / Victory Baptist Church,West,4238 Wallace St.,Philadelphia,PA,19104,church,"1889, William Camac, project architect, in firm of Furness, Evans & Co.; alterations, 1920, John E. Bullock",39.963341,-75.20862,"William Camac;Furness, Evans & Co.;John E. Bullock",,,record,1889;1920,1889
iaahs156,Shelter for Colored Orphans,West,44th and Haverford Ave.,Philadelphia,PA,19104,orphanage,,39.990821,-75.168428,,,,record,,
